sample_id,db_id,input_type,operation_type,dependency_sensitive,F_attempted,diagnostic_source,D_G1_target_state_correct,D_F_G1_target_state_correct,FULL_target_state_correct,D_G1_first_failure_stage,D_F_G1_first_failure_stage,FULL_first_failure_stage,D_G1_error_type,D_F_G1_error_type,FULL_error_type
aug_seed_000194_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE
aug_seed_000068_small_batch_subset_001,superhero,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state
aug_seed_000183_small_batch_subset_001,european_football_2,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,preflight,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,preflight_abstention
seed_000201,formula_1,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000044,superhero,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID
aug_seed_000253_small_batch_subset_001,formula_1,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000243,formula_1,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000211_single_row_subset_001,european_football_2,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000189,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000253_single_row_subset_001,formula_1,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000255_single_row_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000095,superhero,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID
aug_seed_000031_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state
seed_000192,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION
aug_seed_000241_single_row_subset_001,european_football_2,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,preflight,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,preflight_abstention
aug_seed_000353_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state
aug_seed_000013_single_row_subset_001,european_football_2,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000316_small_batch_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000338_relational_format_variant_001,financial,free_text,plain_insert,1,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,TEMPORAL_EVIDENCE_SELECTION_INCOMPATIBLE
aug_seed_000199_small_batch_subset_001,superhero,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000285_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000269,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000202_relational_format_variant_001,student_club,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
seed_000146,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000073,superhero,semi_structured,plain_insert,1,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
aug_seed_000014_small_batch_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE
aug_seed_000254_single_row_subset_001,debit_card_specializing,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000166_single_row_subset_001,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state
seed_000100,european_football_2,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000356,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000167_single_row_subset_001,formula_1,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000187_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000153_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,parse,parse,parse,parse_error,parse_error,parse_error
seed_000037,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
seed_000319,superhero,semi_structured,plain_insert,0,1,full_secondary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
seed_000168,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000259,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000065_single_row_subset_002,formula_1,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000215_small_batch_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
aug_seed_000014_single_row_subset_002,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNKNOWN_COLUMN_ID
aug_seed_000088_relational_format_variant_001,thrombosis_prediction,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,parse,parse,parse,parse_error,parse_error,parse_error
aug_seed_000321_small_batch_subset_001,debit_card_specializing,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000191,debit_card_specializing,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000159,student_club,semi_structured,plain_insert,0,1,full_secondary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
aug_seed_000144_small_batch_subset_001,superhero,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000235,financial,semi_structured,plain_insert,0,1,full_secondary,0,1,1,build,none,none,UNKNOWN_COLUMN_ID,,
aug_seed_000312_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNKNOWN_COLUMN_ID
seed_000048,formula_1,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
seed_000289,debit_card_specializing,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000159_single_row_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000107,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
aug_seed_000282_small_batch_subset_001,european_football_2,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000194_small_batch_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000076,european_football_2,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000002_relational_format_variant_003,debit_card_specializing,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
aug_seed_000331_single_row_subset_001,formula_1,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000275_relational_format_variant_003,student_club,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000344,card_games,semi_structured,upsert_update,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000194,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000108,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000044_single_row_subset_002,superhero,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
seed_000224,card_games,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state
seed_000065,formula_1,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000203_small_batch_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000162_relational_format_variant_002,codebase_community,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000072_relational_format_variant_003,toxicology,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
seed_000166,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION
aug_seed_000048_single_row_subset_002,formula_1,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000079_single_row_subset_002,debit_card_specializing,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000335_small_batch_subset_001,debit_card_specializing,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000108_single_row_subset_002,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE
aug_seed_000020_relational_format_variant_001,european_football_2,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,parse,parse,parse,parse_error,parse_error,parse_error
seed_000169,debit_card_specializing,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000245,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION
seed_000263,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID
aug_seed_000091_single_row_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000308,european_football_2,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000069,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION
seed_000099,formula_1,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,parse,parse,parse,parse_error,parse_error,parse_error
seed_000010,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID
aug_seed_000017_single_row_subset_001,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,LOSSY_NORMALIZATION_REJECTED,LOSSY_NORMALIZATION_REJECTED,UNSUPPORTED_EXTRACTED_VALUE
aug_seed_000027_single_row_subset_002,debit_card_specializing,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000145_single_row_subset_001,toxicology,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000095_single_row_subset_002,superhero,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
seed_000056,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000311,card_games,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
aug_seed_000238_small_batch_subset_001,debit_card_specializing,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000119_single_row_subset_002,superhero,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000089_single_row_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000282_single_row_subset_001,european_football_2,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000020_relational_format_variant_002,european_football_2,semi_structured,insert_ignore,1,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000219,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNKNOWN_COLUMN_ID,NEEDS_CLARIFICATION
aug_seed_000202_relational_format_variant_003,student_club,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000044_single_row_subset_001,superhero,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000261_small_batch_subset_001,debit_card_specializing,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000069_single_row_subset_001,financial,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000139_small_batch_subset_001,european_football_2,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000137_small_batch_subset_001,debit_card_specializing,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000218_small_batch_subset_001,superhero,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000025_single_row_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN,MISSING_REQUIRED_COLUMN
aug_seed_000002_relational_format_variant_001,debit_card_specializing,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,parse,parse,parse,parse_error,parse_error,parse_error
aug_seed_000049_relational_format_variant_003,debit_card_specializing,semi_structured,plain_insert,1,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000031_small_batch_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000061,financial,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION,NEEDS_CLARIFICATION
aug_seed_000311_single_row_subset_001,card_games,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
aug_seed_000309_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000316_single_row_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000312,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000130_single_row_subset_001,formula_1,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
seed_000072,toxicology,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000343_small_batch_subset_001,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000293_relational_format_variant_001,student_club,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000325,superhero,semi_structured,plain_insert,0,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
aug_seed_000301_single_row_subset_001,student_club,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000356_single_row_subset_001,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000121,student_club,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000217,codebase_community,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,build,build,build,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
aug_seed_000061_single_row_subset_002,financial,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000052,superhero,semi_structured,plain_insert,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000179_single_row_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000088,thrombosis_prediction,semi_structured,insert_ignore,1,0,d_g1_primary,0,0,0,state_mismatch,state_mismatch,state_mismatch,wrong_state,wrong_state,wrong_state
aug_seed_000351_relational_format_variant_001,toxicology,free_text,insert_ignore,1,0,d_g1_primary,0,0,0,parse,parse,parse,parse_error,parse_error,parse_error
aug_seed_000013_small_batch_subset_001,european_football_2,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000335,debit_card_specializing,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000080_single_row_subset_002,student_club,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID
aug_seed_000235_single_row_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000019_single_row_subset_002,financial,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING,DUPLICATE_TARGET_COLUMN_AFTER_EVIDENCE_GROUNDING
seed_000174,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000280_single_row_subset_001,european_football_2,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
seed_000067,formula_1,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000171_small_batch_subset_001,financial,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID,UNKNOWN_EVIDENCE_ID
seed_000051,financial,semi_structured,insert_ignore,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
seed_000040,codebase_community,free_text,plain_insert,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000035_relational_format_variant_002,california_schools,semi_structured,plain_insert,1,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000148_small_batch_subset_001,codebase_community,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMNS,MISSING_UPDATE_COLUMNS,MISSING_UPDATE_COLUMNS
aug_seed_000303_small_batch_subset_001,thrombosis_prediction,semi_structured,insert_ignore,0,0,d_g1_primary,1,1,1,none,none,none,,,
aug_seed_000119_single_row_subset_001,superhero,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
seed_000193,california_schools,semi_structured,upsert_update,0,0,d_g1_primary,0,0,0,preflight,preflight,preflight,preflight_abstention,preflight_abstention,preflight_abstention
aug_seed_000161_single_row_subset_001,superhero,free_text,insert_ignore,0,0,d_g1_primary,0,0,0,build,build,build,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS,MISSING_UPDATE_COLUMN_IDS
seed_000165,superhero,semi_structured,plain_insert,0,1,full_secondary,0,0,0,build,build,build,UNKNOWN_COLUMN_ID,UNRESOLVED_SOURCE_FIELD,UNRESOLVED_SOURCE_FIELD
