sample_id,database,input_type,operation_type,difficulty,conflict_sensitive,dependency_sensitive,target_state_correct,strict_state_correct,execution_success,admitted,abstained,off_target_change,constraint_failure,execution_failure,generation_ok,parse_ok,reference_resolution_ok,materialization_ok,verification_ok,compilation_ok,semantic_gate_ok,preflight_ok,admission_ok,execution_ok,state_correct,first_failure_stage,failure_reason_code,failure_reason_detail,root_cause,manual_review_required,manual_review_label,manual_review_notes,oracle_if_bypassed_correct,abstention_reason,direct_correct,jfs_correct,mpfsplus_correct,paired_category
final_archeology_016,archeology,free_text,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.c6'.,GROUNDING_ERROR,0,,,0,grounding_failure,0,0,0,ALL_WRONG
final_archeology_017,archeology,free_text,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,0,0,0,ALL_WRONG
final_archeology_018,archeology,free_text,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_019,archeology,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_020,archeology,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_021,archeology,semi_structured,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.arcregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_022,archeology,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_023,archeology,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_024,archeology,semi_structured,upsert_update,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_025,archeology,semi_structured,plain_insert,,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,TARGET_MISSING_COLUMN,equipment: missing required columns: equipregistry.,LLM_SEMANTIC_ERROR,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_026,archeology,semi_structured,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,TARGET_MISSING_COLUMN,equipment: missing required columns: equipregistry.,LLM_SEMANTIC_ERROR,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_027,archeology,semi_structured,upsert_update,,1,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't14.zoneregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_028,archeology,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_029,archeology,semi_structured,insert_ignore,,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_030,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_031,archeology,free_text,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't1.c7'.,GROUNDING_ERROR,0,,,0,grounding_failure,0,0,0,ALL_WRONG
final_archeology_032,archeology,free_text,insert_ignore,,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,state_mismatch,STATE_WRONG_VALUE,wrong_state,LLM_SEMANTIC_ERROR,1,executed_but_wrong,,,,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_033,archeology,free_text,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_WRONG_UPDATE_COLUMNS,upsert_update requires at least one enumerated update column.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,0,1,0,J_CORRECT_MP_WRONG
final_archeology_034,archeology,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_035,archeology,semi_structured,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.arcregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_036,archeology,semi_structured,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.arcregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_037,archeology,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_038,archeology,semi_structured,insert_ignore,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_039,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_040,archeology,semi_structured,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,TARGET_MISSING_COLUMN,equipment: missing required columns: equipregistry.,LLM_SEMANTIC_ERROR,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_041,archeology,semi_structured,insert_ignore,,1,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.arcregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_042,archeology,semi_structured,upsert_update,,1,0,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_043,archeology,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_044,archeology,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_045,archeology,semi_structured,upsert_update,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_046,archeology,free_text,plain_insert,,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,state_mismatch,STATE_WRONG_VALUE,wrong_state,LLM_SEMANTIC_ERROR,1,executed_but_wrong,,,,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_047,archeology,free_text,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_WRONG_EVIDENCE_SPAN,Multiple cells resolve to target column 'structstate'.,MATERIALIZATION_ERROR,0,,,0,grounding_failure,0,1,0,J_CORRECT_MP_WRONG
final_archeology_048,archeology,free_text,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,TARGET_MISSING_COLUMN,"scans: missing required columns: questregistry, crewref.",LLM_SEMANTIC_ERROR,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_049,archeology,semi_structured,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.arcregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_050,archeology,semi_structured,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't3.arcregistry'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_051,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_052,archeology,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_053,archeology,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_054,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_055,archeology,semi_structured,plain_insert,,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_INVALID_SOURCE_REF,Unknown source field reference 'c1.f3' for c1.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_056,archeology,semi_structured,insert_ignore,,1,0,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_archeology_057,archeology,semi_structured,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,0,0,DIRECT_CORRECT_MP_WRONG
final_archeology_058,archeology,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_059,archeology,semi_structured,insert_ignore,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_archeology_060,archeology,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_001,polar,free_text,plain_insert,,0,0,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_NORMALIZATION_ERROR,Value is not an integer literal.,MATERIALIZATION_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_002,polar,free_text,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_NORMALIZATION_ERROR,Value is not a supported unambiguous date.,MATERIALIZATION_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_003,polar,free_text,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't5.c12'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,0,0,DIRECT_CORRECT_MP_WRONG
final_polar_004,polar,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_005,polar,semi_structured,insert_ignore,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,0,1,1,MP_CORRECT_DIRECT_WRONG
final_polar_006,polar,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_007,polar,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_008,polar,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_009,polar,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_010,polar,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_011,polar,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_012,polar,semi_structured,upsert_update,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_013,polar,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_014,polar,semi_structured,insert_ignore,,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,state_mismatch,STATE_WRONG_VALUE,wrong_state,LLM_SEMANTIC_ERROR,1,executed_but_wrong,,,,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_015,polar,semi_structured,upsert_update,,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,state_mismatch,STATE_WRONG_VALUE,wrong_state,LLM_SEMANTIC_ERROR,1,executed_but_wrong,,,,1,0,0,DIRECT_CORRECT_MP_WRONG
final_polar_016,polar,free_text,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_NORMALIZATION_ERROR,Value is not a supported unambiguous date.,MATERIALIZATION_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_017,polar,free_text,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_WRONG_UPDATE_COLUMNS,upsert_update requires at least one enumerated update column.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_018,polar,free_text,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_019,polar,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_020,polar,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_021,polar,semi_structured,upsert_update,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_022,polar,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_023,polar,semi_structured,insert_ignore,,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,NA,NA,NA,preflight,PREFLIGHT_UNIQUE,UNIQUE constraint failed: scientific.sciregistry,PREFLIGHT_ERROR,0,,,0,preflight_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_024,polar,semi_structured,upsert_update,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_025,polar,semi_structured,plain_insert,,0,0,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_026,polar,semi_structured,insert_ignore,,1,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_027,polar,semi_structured,upsert_update,,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,1,0,0,DIRECT_CORRECT_MP_WRONG
final_polar_028,polar,semi_structured,plain_insert,,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_029,polar,semi_structured,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_030,polar,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_031,polar,free_text,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,reference_resolution,REF_UNKNOWN_COLUMN,Unknown enumerated column ID 't1.c15'.,GROUNDING_ERROR,0,,,0,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_032,polar,free_text,insert_ignore,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_033,polar,free_text,upsert_update,,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,0,0,0,ALL_WRONG
final_polar_034,polar,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_035,polar,semi_structured,insert_ignore,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,0,1,1,MP_CORRECT_DIRECT_WRONG
final_polar_036,polar,semi_structured,upsert_update,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_037,polar,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
final_polar_038,polar,semi_structured,insert_ignore,,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,0,0,1,ONLY_MP_CORRECT
final_polar_039,polar,semi_structured,upsert_update,,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,0,1,MP_CORRECT_J_WRONG
final_polar_040,polar,semi_structured,plain_insert,,0,1,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_041,polar,semi_structured,insert_ignore,,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,,0,verification_reject,1,1,0,DIRECT_J_CORRECT_MP_WRONG
final_polar_042,polar,semi_structured,upsert_update,,1,0,0,0,0,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,VERIFIER_OVER_REJECTION,1,over_reject_candidate,,1,grounding_failure,1,0,0,DIRECT_CORRECT_MP_WRONG
final_polar_043,polar,semi_structured,plain_insert,,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,none,NONE,,NONE,0,,,,,1,1,1,ALL_CORRECT
