sample_id,database,input_type,operation_type,review_categories,first_failure_stage,failure_reason_code,failure_reason_detail,root_cause_auto_noncausal,oracle_if_bypassed_correct,state_diff_classes,state_diff_gold_delta,state_diff_predicted_delta,state_diff_difference,manual_review_status,reviewer_root_cause,conflict_ambiguity_gold_label,manual_review_notes
final_polar_002,polar,free_text,insert_ignore,DATE_NORMALIZATION,materialization,VALUE_NORMALIZATION_ERROR,Value is not a supported unambiguous date.,MATERIALIZATION_ERROR,0,,{},{},{},COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The request explicitly provides timestamps '2024-10-29 17:30:55.954446' and '2026-07-30 08:15:00', and the gold SQL preserves those same values. Both are rejected by iso_date_normalization as unsupported/unambiguous dates. This is a date-normalization policy/rule-selection failure, not source ambiguity. However, the same candidate also has MISSING_UPDATE_COLUMN_IDS, so fixing date normalization alone is not established to recover the full sample."
final_polar_014,polar,semi_structured,insert_ignore,EXECUTED_BUT_WRONG;STATE_MISMATCH,state_mismatch,STATE_WRONG_VALUE,wrong_state,FINAL_STATE_MISMATCH,,STATE_WRONG_VALUE,"{""weatherandstructure"": {""added"": [{""barometricpressurehpa"": null, ""externaltemperaturec"": -20, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Snow"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 8, ""weatheropmaintref"": null, ""weatherregistry"": 3020, ""winddirectiondegrees"": null, ""windspeedms"": 15.2}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -22.5, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Ice"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Warning"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 7, ""weatheropmaintref"": null, ""weatherregistry"": 3019, ""winddirectiondegrees"": null, ""windspeedms"": 14}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -25, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""None"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 6, ""weatheropmaintref"": null, ""weatherregistry"": 3018, ""winddirectiondegrees"": null, ""windspeedms"": 12.8}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -27.5, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Snow"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Critical"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 5, ""weatheropmaintref"": null, ""weatherregistry"": 3017, ""winddirectiondegrees"": null, ""windspeedms"": 11.6}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -30, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""None"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 4, ""weatheropmaintref"": null, ""weatherregistry"": 3016, ""winddirectiondegrees"": null, ""windspeedms"": 10.4}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -32.5, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Ice"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Warning"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 3, ""weatheropmaintref"": null, ""weatherregistry"": 3015, ""winddirectiondegrees"": null, ""windspeedms"": 9.2}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -35, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Snow"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 2, ""weatheropmaintref"": null, ""weatherregistry"": 3014, ""winddirectiondegrees"": null, ""windspeedms"": 8}], ""added_count"": 7, ""columns"": [""weatherregistry"", ""weatherlocref"", ""externaltemperaturec"", ""windspeedms"", ""winddirectiondegrees"", ""barometricpressurehpa"", ""solarradiationwm2"", ""snowdepthcm"", ""icethicknesscm"", ""visibilitykm"", ""precipitationtype"", ""precipitationratemmh"", ""snowloadkgm2"", ""structuralloadpercent"", ""structuralintegritystatus"", ""vibrationlevelmms2"", ""noiseleveldb"", ""weatheropmaintref""], ""removed"": [], ""removed_count"": 0}}","{""weatherandstructure"": {""added"": [{""barometricpressurehpa"": null, ""externaltemperaturec"": -20, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Snow"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 8, ""weatheropmaintref"": null, ""weatherregistry"": 3020, ""winddirectiondegrees"": null, ""windspeedms"": 15.2}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -22.5, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Ice"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Warning"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 7, ""weatheropmaintref"": null, ""weatherregistry"": 3019, ""winddirectiondegrees"": null, ""windspeedms"": 14}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -25, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": null, ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 6, ""weatheropmaintref"": null, ""weatherregistry"": 3018, ""winddirectiondegrees"": null, ""windspeedms"": 12.8}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -27.5, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Snow"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Critical"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 5, ""weatheropmaintref"": null, ""weatherregistry"": 3017, ""winddirectiondegrees"": null, ""windspeedms"": 11.6}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -30, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": null, ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 4, ""weatheropmaintref"": null, ""weatherregistry"": 3016, ""winddirectiondegrees"": null, ""windspeedms"": 10.4}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -32.5, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Ice"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Warning"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 3, ""weatheropmaintref"": null, ""weatherregistry"": 3015, ""winddirectiondegrees"": null, ""windspeedms"": 9.2}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -35, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""Snow"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 2, ""weatheropmaintref"": null, ""weatherregistry"": 3014, ""winddirectiondegrees"": null, ""windspeedms"": 8}], ""added_count"": 7, ""columns"": [""weatherregistry"", ""weatherlocref"", ""externaltemperaturec"", ""windspeedms"", ""winddirectiondegrees"", ""barometricpressurehpa"", ""solarradiationwm2"", ""snowdepthcm"", ""icethicknesscm"", ""visibilitykm"", ""precipitationtype"", ""precipitationratemmh"", ""snowloadkgm2"", ""structuralloadpercent"", ""structuralintegritystatus"", ""vibrationlevelmms2"", ""noiseleveldb"", ""weatheropmaintref""], ""removed"": [], ""removed_count"": 0}}","{""weatherandstructure"": {""columns"": [""weatherregistry"", ""weatherlocref"", ""externaltemperaturec"", ""windspeedms"", ""winddirectiondegrees"", ""barometricpressurehpa"", ""solarradiationwm2"", ""snowdepthcm"", ""icethicknesscm"", ""visibilitykm"", ""precipitationtype"", ""precipitationratemmh"", ""snowloadkgm2"", ""structuralloadpercent"", ""structuralintegritystatus"", ""vibrationlevelmms2"", ""noiseleveldb"", ""weatheropmaintref""], ""extra_count"": 2, ""extra_in_prediction"": [{""barometricpressurehpa"": null, ""externaltemperaturec"": -25, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": null, ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 6, ""weatheropmaintref"": null, ""weatherregistry"": 3018, ""winddirectiondegrees"": null, ""windspeedms"": 12.8}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -30, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": null, ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 4, ""weatheropmaintref"": null, ""weatherregistry"": 3016, ""winddirectiondegrees"": null, ""windspeedms"": 10.4}], ""missing_count"": 2, ""missing_from_prediction"": [{""barometricpressurehpa"": null, ""externaltemperaturec"": -25, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""None"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 6, ""weatheropmaintref"": null, ""weatherregistry"": 3018, ""winddirectiondegrees"": null, ""windspeedms"": 12.8}, {""barometricpressurehpa"": null, ""externaltemperaturec"": -30, ""icethicknesscm"": null, ""noiseleveldb"": null, ""precipitationratemmh"": null, ""precipitationtype"": ""None"", ""snowdepthcm"": null, ""snowloadkgm2"": null, ""solarradiationwm2"": null, ""structuralintegritystatus"": ""Normal"", ""structuralloadpercent"": null, ""vibrationlevelmms2"": null, ""visibilitykm"": null, ""weatherlocref"": 4, ""weatheropmaintref"": null, ""weatherregistry"": 3016, ""winddirectiondegrees"": null, ""windspeedms"": 10.4}]}}",COMPLETED,SOURCE_PARSER_NULL_LITERAL_COERCION_ERROR,,"The CSV request contains the literal text 'None' for precipitationtype in two rows, and the gold state preserves the TEXT value 'None'. Before compilation, the materialized rows already contain null/None for those cells. Thus a source parsing/null-coercion policy converts a legitimate text token into SQL NULL, causing the state mismatch."
final_polar_015,polar,semi_structured,upsert_update,EXECUTED_BUT_WRONG;STATE_MISMATCH,state_mismatch,STATE_WRONG_VALUE,wrong_state,FINAL_STATE_MISMATCH,,STATE_WRONG_VALUE,"{""operationmaintenance"": {""added"": [{""compliancestatus"": ""Compliant"", ""costmetrics"": ""{\""repair_usd\"": 6.280, \""operating_usd\"": 555.1800, \""maintenance_usd\"": 1280.47}"", ""crewcertificationstatus"": ""Pending"", ""documentationstatus"": ""Updated"", ""inspectionstatus"": ""Pending"", ""lastmaintenancedate"": ""2024-10-20"", ""maintenancecyclehours"": 2464.0, ""nextmaintenancedue"": ""2026-11-30"", ""operationalstatus"": ""Active"", ""operationhours"": 40995.0, ""opmaintcommref"": 11, ""opmainteqref"": ""PE408827"", ""opmaintlocref"": 11, ""opmaintregistry"": 11}], ""added_count"": 1, ""columns"": [""opmaintregistry"", ""opmainteqref"", ""opmaintlocref"", ""operationhours"", ""maintenancecyclehours"", ""lastmaintenancedate"", ""nextmaintenancedue"", ""operationalstatus"", ""crewcertificationstatus"", ""inspectionstatus"", ""compliancestatus"", ""documentationstatus"", ""opmaintcommref"", ""costmetrics""], ""removed"": [{""compliancestatus"": ""Review"", ""costmetrics"": ""{\""repair_usd\"": 6.280, \""operating_usd\"": 555.1800, \""maintenance_usd\"": 1280.47}"", ""crewcertificationstatus"": ""Pending"", ""documentationstatus"": ""Updated"", ""inspectionstatus"": ""Passed"", ""lastmaintenancedate"": ""2024-10-20"", ""maintenancecyclehours"": 2464.0, ""nextmaintenancedue"": ""2025-06-15"", ""operationalstatus"": ""Storage"", ""operationhours"": 40995.0, ""opmaintcommref"": 11, ""opmainteqref"": ""PE408827"", ""opmaintlocref"": 11, ""opmaintregistry"": 11}], ""removed_count"": 1}}","{""operationmaintenance"": {""added"": [{""compliancestatus"": ""Compliant"", ""costmetrics"": ""{\""repair_usd\"": 6.280, \""operating_usd\"": 555.1800, \""maintenance_usd\"": 1280.47}"", ""crewcertificationstatus"": ""Pending"", ""documentationstatus"": ""Updated"", ""inspectionstatus"": ""Pending"", ""lastmaintenancedate"": ""2024-10-20"", ""maintenancecyclehours"": 2464.0, ""nextmaintenancedue"": ""2025-06-15"", ""operationalstatus"": ""Active"", ""operationhours"": 40995.0, ""opmaintcommref"": 11, ""opmainteqref"": ""PE408827"", ""opmaintlocref"": 11, ""opmaintregistry"": 11}], ""added_count"": 1, ""columns"": [""opmaintregistry"", ""opmainteqref"", ""opmaintlocref"", ""operationhours"", ""maintenancecyclehours"", ""lastmaintenancedate"", ""nextmaintenancedue"", ""operationalstatus"", ""crewcertificationstatus"", ""inspectionstatus"", ""compliancestatus"", ""documentationstatus"", ""opmaintcommref"", ""costmetrics""], ""removed"": [{""compliancestatus"": ""Review"", ""costmetrics"": ""{\""repair_usd\"": 6.280, \""operating_usd\"": 555.1800, \""maintenance_usd\"": 1280.47}"", ""crewcertificationstatus"": ""Pending"", ""documentationstatus"": ""Updated"", ""inspectionstatus"": ""Passed"", ""lastmaintenancedate"": ""2024-10-20"", ""maintenancecyclehours"": 2464.0, ""nextmaintenancedue"": ""2025-06-15"", ""operationalstatus"": ""Storage"", ""operationhours"": 40995.0, ""opmaintcommref"": 11, ""opmainteqref"": ""PE408827"", ""opmaintlocref"": 11, ""opmaintregistry"": 11}], ""removed_count"": 1}}","{""operationmaintenance"": {""columns"": [""opmaintregistry"", ""opmainteqref"", ""opmaintlocref"", ""operationhours"", ""maintenancecyclehours"", ""lastmaintenancedate"", ""nextmaintenancedue"", ""operationalstatus"", ""crewcertificationstatus"", ""inspectionstatus"", ""compliancestatus"", ""documentationstatus"", ""opmaintcommref"", ""costmetrics""], ""extra_count"": 1, ""extra_in_prediction"": [{""compliancestatus"": ""Compliant"", ""costmetrics"": ""{\""repair_usd\"": 6.280, \""operating_usd\"": 555.1800, \""maintenance_usd\"": 1280.47}"", ""crewcertificationstatus"": ""Pending"", ""documentationstatus"": ""Updated"", ""inspectionstatus"": ""Pending"", ""lastmaintenancedate"": ""2024-10-20"", ""maintenancecyclehours"": 2464.0, ""nextmaintenancedue"": ""2025-06-15"", ""operationalstatus"": ""Active"", ""operationhours"": 40995.0, ""opmaintcommref"": 11, ""opmainteqref"": ""PE408827"", ""opmaintlocref"": 11, ""opmaintregistry"": 11}], ""missing_count"": 1, ""missing_from_prediction"": [{""compliancestatus"": ""Compliant"", ""costmetrics"": ""{\""repair_usd\"": 6.280, \""operating_usd\"": 555.1800, \""maintenance_usd\"": 1280.47}"", ""crewcertificationstatus"": ""Pending"", ""documentationstatus"": ""Updated"", ""inspectionstatus"": ""Pending"", ""lastmaintenancedate"": ""2024-10-20"", ""maintenancecyclehours"": 2464.0, ""nextmaintenancedue"": ""2026-11-30"", ""operationalstatus"": ""Active"", ""operationhours"": 40995.0, ""opmaintcommref"": 11, ""opmainteqref"": ""PE408827"", ""opmaintlocref"": 11, ""opmaintregistry"": 11}]}}",COMPLETED,UPDATE_COLUMN_OMISSION_PLANNING_ERROR,,"The request explicitly says to update operationalstatus, inspectionstatus, compliancestatus, and nextmaintenancedue. The materialized conflict plan omits nextmaintenancedue from update_columns, although the incoming row contains the correct 2026-11-30 value. SQLite therefore preserves the old 2025-06-15 value on conflict. This is loss of an explicit update-column constraint before compilation."
final_polar_016,polar,free_text,plain_insert,DATE_NORMALIZATION,materialization,VALUE_NORMALIZATION_ERROR,Value is not a supported unambiguous date.,MATERIALIZATION_ERROR,0,,{},{},{},COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The request explicitly provides '2026-07-30 10:30:00' and the gold SQL uses the same timestamp, yet iso_date_normalization rejects it. This is not an ambiguous source date. The candidate also maps 'm2' through decimal parsing and is rejected there, so the date issue is only one of multiple materialization problems."
final_polar_025,polar,semi_structured,plain_insert,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'plain_insert'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_polar_026,polar,semi_structured,insert_ignore,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_polar_027,polar,semi_structured,upsert_update,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: cabinenvironment: action=do_update; target=cabinregistry; updates=emergencybeaconstatus,ventilationstatus,ventilationspeedpercent,heaterstatus. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_polar_033,polar,free_text,upsert_update,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: equipment: action=do_update; target=equipmentcode; updates=manufacturer,reliabilityindex || location: action=do_update; target=locationregistry; updates=stationname,altitudem || scientific: action=do_update; target=sciregistry; updates=dataloggingstatus,calibrationstatus,measurementaccuracypercent. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_polar_040,polar,semi_structured,plain_insert,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. Parsed write_semantics (plain_insert) matches the explicit request (plain_insert), and the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. This is strong evidence that control-field coverage is the blocking failure, although downstream behavior still requires an isolated intervention test."
final_polar_041,polar,semi_structured,insert_ignore,CONFLICT_AMBIGUITY,verification,CONFLICT_MISSING,Conflict behavior is ambiguous; the fail-closed policy abstains.,REPRESENTATION_LIMITATION,0,,{},{},{},COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: powerbattery: action=do_nothing; target=powerbattregistry; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_polar_042,polar,semi_structured,upsert_update,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: loceqref). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
final_polar_047,polar,free_text,insert_ignore,DATE_NORMALIZATION,materialization,VALUE_NORMALIZATION_ERROR,Value is not a supported unambiguous date.,MATERIALIZATION_ERROR,0,,{},{},{},COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,The request explicitly provides Timestamp '2026-07-30 14:47:00' and the gold SQL preserves the identical value. The only recorded validation error is rejection of that value by iso_date_normalization. This is a clean date-normalization blocker; the evidence does not support calling the source date ambiguous.
final_polar_056,polar,semi_structured,insert_ignore,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_polar_057,polar,semi_structured,upsert_update,BYPASS_RECOVERABLE;CONTROL_FIELD_OPERATION,materialization,VALUE_MISSING,Source field 'operation' is neither mapped nor justified.,BYPASS_RECOVERABLE_MATERIALIZATION,1,,{},{},{},COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: scieqref). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
