sample_id,manual_review_status,reviewer_root_cause,conflict_ambiguity_gold_label,manual_review_notes
final_polar_002,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The request explicitly provides timestamps '2024-10-29 17:30:55.954446' and '2026-07-30 08:15:00', and the gold SQL preserves those same values. Both are rejected by iso_date_normalization as unsupported/unambiguous dates. This is a date-normalization policy/rule-selection failure, not source ambiguity. However, the same candidate also has MISSING_UPDATE_COLUMN_IDS, so fixing date normalization alone is not established to recover the full sample."
final_polar_014,COMPLETED,SOURCE_PARSER_NULL_LITERAL_COERCION_ERROR,,"The CSV request contains the literal text 'None' for precipitationtype in two rows, and the gold state preserves the TEXT value 'None'. Before compilation, the materialized rows already contain null/None for those cells. Thus a source parsing/null-coercion policy converts a legitimate text token into SQL NULL, causing the state mismatch."
final_polar_015,COMPLETED,UPDATE_COLUMN_OMISSION_PLANNING_ERROR,,"The request explicitly says to update operationalstatus, inspectionstatus, compliancestatus, and nextmaintenancedue. The materialized conflict plan omits nextmaintenancedue from update_columns, although the incoming row contains the correct 2026-11-30 value. SQLite therefore preserves the old 2025-06-15 value on conflict. This is loss of an explicit update-column constraint before compilation."
final_polar_016,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The request explicitly provides '2026-07-30 10:30:00' and the gold SQL uses the same timestamp, yet iso_date_normalization rejects it. This is not an ambiguous source date. The candidate also maps 'm2' through decimal parsing and is rejected there, so the date issue is only one of multiple materialization problems."
final_polar_025,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'plain_insert'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_polar_026,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_polar_027,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: cabinenvironment: action=do_update; target=cabinregistry; updates=emergencybeaconstatus,ventilationstatus,ventilationspeedpercent,heaterstatus. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_polar_033,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: equipment: action=do_update; target=equipmentcode; updates=manufacturer,reliabilityindex || location: action=do_update; target=locationregistry; updates=stationname,altitudem || scientific: action=do_update; target=sciregistry; updates=dataloggingstatus,calibrationstatus,measurementaccuracypercent. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_polar_040,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. Parsed write_semantics (plain_insert) matches the explicit request (plain_insert), and the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. This is strong evidence that control-field coverage is the blocking failure, although downstream behavior still requires an isolated intervention test."
final_polar_041,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: powerbattery: action=do_nothing; target=powerbattregistry; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_polar_042,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: loceqref). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
final_polar_047,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,The request explicitly provides Timestamp '2026-07-30 14:47:00' and the gold SQL preserves the identical value. The only recorded validation error is rejection of that value by iso_date_normalization. This is a clean date-normalization blocker; the evidence does not support calling the source date ambiguous.
final_polar_056,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_polar_057,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: scieqref). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
final_polar_058,COMPLETED,SOURCE_PARSER_NULL_LITERAL_COERCION_ERROR,,"The request contains literal precipitationtype='None' for weatherregistry 5060 and gold preserves the TEXT value 'None', but the materialized row contains null/None. This is the same source null-literal coercion seen in final_polar_014. A separate latent issue is that the materialized plan changes plain_insert to DO UPDATE, but the keys are new so that semantic corruption does not cause the observed state mismatch."
final_robot_003,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: robot_record: action=do_update; target=recreg; updates=rects,botcode || robot_details: action=do_update; target=botdetreg; updates=mfgnameval,modelseriesval,payloadcapkg,fwversionval,ctrltypeval || operation: action=do_update; target=operreg; updates=totopshrval,apptypeval,currprogval,progcyclecount,cycletimesecval,axiscountval || actuation_data: action=do_update; target=actreg; updates=tcpxval,tcpspeedval,pathaccmmval,poserrmmval,payloadwval || maintenance_and_fault: action=do_update; target=upkeepactuation; updates=faultcodeval,issuecategoryval,issuelevelval,faultpredscore,faulttypeestimation,rulhours,upkeepduedays,upkeepcostest. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_robot_005,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: robot_record: action=do_nothing; target=recreg; updates=<none> || robot_details: action=do_nothing; target=botdetreg; updates=<none> || operation: action=do_nothing; target=operreg; updates=<none> || actuation_data: action=do_nothing; target=actreg; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_robot_011,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'plain_insert' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_robot_012,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: upkeepoperation, upkeeprobot). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
final_robot_016,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The request explicitly provides robot_record.rects='2026-07-30 16:16:00' and the gold SQL preserves it, but iso_date_normalization rejects the value. The same candidate also contains many UNKNOWN_COLUMN_ID errors, so date normalization is not the only blocker and a date-only fix would not establish full recovery."
final_robot_019,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies plain-insert/error-on-conflict behavior with no conflict target or update columns. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: robot_record: action=error; target=<none>; updates=<none> || robot_details: action=error; target=<none>; updates=<none> || operation: action=error; target=<none>; updates=<none> || actuation_data: action=error; target=<none>; updates=<none> || maintenance_and_fault: action=error; target=<none>; updates=<none> || performance_and_safety: action=error; target=<none>; updates=<none> || system_controller: action=error; target=<none>; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_robot_025,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. Parsed write_semantics (plain_insert) matches the explicit request (plain_insert), and the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. This is strong evidence that control-field coverage is the blocking failure, although downstream behavior still requires an isolated intervention test."
final_robot_026,COMPLETED,SOURCE_PARSER_CONTROL_ROW_SEGMENTATION_ERROR,,"The actual eight robot_record rows are materialized correctly, but the key-value source parser also turns the control block (table/conflict_target/policy) into an additional data collection. That collection is compiled as a bogus robot_record row with recreg='recreg' and control text as values. Root cause is control-metadata/data-row segmentation in the deterministic source parser."
final_robot_031,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The request explicitly provides robot_record.rects='2026-07-30 17:31:00' and the gold SQL preserves it, but iso_date_normalization rejects the value. The candidate also has a large number of UNKNOWN_COLUMN_ID errors and a clarification-related error, so this is a mixed failure rather than a date-only case."
final_robot_033,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,The request explicitly instructs rects='2026-07-30 17:33:00' and the gold SQL uses the same value. The only recorded validation error is iso_date_normalization rejecting that timestamp. This is a clean date-normalization blocker.
final_robot_040,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. Parsed write_semantics (plain_insert) matches the explicit request (plain_insert), and the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. This is strong evidence that control-field coverage is the blocking failure, although downstream behavior still requires an isolated intervention test."
final_robot_047,COMPLETED,FREE_TEXT_EVIDENCE_AND_GROUP_PLANNING_ERROR,,"The request explicitly asks for two-table insert-ignore with an existing witness and a new robot_record/robot_details pair. The generated plan instead emits one plain-insert robot_record group using generic evidence tokens ('In', 'no', 'The') and omits the robot_details group. The resulting wrong row and missing child are caused by free-text evidence grounding plus target-group/semantic planning failure."
final_robot_048,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: robot_record: action=do_update; target=recreg; updates=rects,botcode || robot_details: action=do_update; target=botdetreg; updates=mfgnameval,modelseriesval,payloadcapkg,fwversionval || operation: action=do_update; target=operreg; updates=totopshrval,apptypeval,currprogval,progcyclecount,cycletimesecval || actuation_data: action=do_update; target=actreg; updates=tcpxval,tcpyval,tcpzval,tcpspeedval,pathaccmmval,poserrmmval. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_robot_056,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'plain_insert' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_robot_057,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, policy. The parsed write_semantics is 'needs_clarification' while the explicit request is 'upsert_update'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_vaccine_001,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,The request explicitly provides shipment timestamp '2026-07-30 09:15:00' and the gold SQL preserves it exactly. The only recorded validation error is rejection by iso_date_normalization. This is a clean date-normalization blocker.
final_vaccine_002,COMPLETED,DATE_NORMALIZATION_AND_EVIDENCE_SPAN_ERROR,,"This sample has two distinct date-related problems. One timemark is sourced from evidence whose raw value is the word 'Attempt', which is an evidence-span/value selection error rather than date ambiguity. A second explicit timestamp '2026-07-30 10:02:00' is correctly present in the request and gold SQL but is also rejected by iso_date_normalization. The candidate additionally has an identifier/TEXT normalization error for raw value '180'. A single date-parser change is therefore insufficient to explain or recover the whole candidate."
final_vaccine_005,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies insert-ignore/do-nothing behavior and identifies the conflict key(s); conflicting rows must remain unchanged. The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: shipments: action=do_nothing; target=shipmentregistry; updates=<none> || container: action=do_nothing; target=containregistry; updates=<none> || transportinfo: action=do_nothing; target=vehiclereg; updates=<none> || datalogger: action=do_nothing; target=loggerreg; updates=<none> || sensordata: action=do_nothing; target=sensortrack; updates=<none> || vaccinedetails: action=do_nothing; target=vacregistry; updates=<none>. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_vaccine_011,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, conflict_action. The parsed write_semantics is 'plain_insert' while the explicit request is 'insert_ignore'; however the materialized table/rows/conflict semantics match the gold plan after scalar type normalization. Thus the control-field policy is the observed first blocker, but the parsed-plan inconsistency means an operation-only causal rescue should not be claimed without an isolated rerun."
final_vaccine_012,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, table, conflict_target, update_columns, relationship_columns_not_to_update. In addition, the materialized plan has a latent semantic mismatch relative to gold (extra update columns: containlink, vehsenseref). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
final_vaccine_016,COMPLETED,DATE_NORMALIZATION_POLICY_ERROR,,"The explicit request/gold timestamps '2026-07-30 16:16:00' and '2026-07-30 22:45:00' are both rejected by iso_date_normalization. The source values are directly specified, so this is not source ambiguity. The same candidate also has UNKNOWN_EVIDENCE_ID, many UNKNOWN_COLUMN_ID errors, and other normalization errors; date handling is only one component of the failure."
final_vaccine_021,COMPLETED,CONFLICT_SEMANTICS_PLANNING_ERROR,RESOLVABLE_FROM_INPUT,"The request explicitly specifies upsert/do-update behavior, the conflict target(s), and the allowed update column set(s). The sample metadata records semantics_explicit_in_request=True and semantics_source='request', and manual inspection of input_text confirms that the conflict policy is stated directly. Gold conflict semantics: shipments: action=do_update; target=shipmentregistry; updates=routealign,qualcheck,handlingguide || container: action=do_update; target=containregistry; updates=containflag,coolremainpct,batterypct || transportinfo: action=do_update; target=vehiclereg; updates=speedkm,currentsite,distleftkm,gpsflag. Nevertheless, the MP-FS+ generated/parsed plan emits write_semantics='needs_clarification' with no usable conflict target/update-column decision, causing the fail-closed verifier to abstain. Therefore the case is RESOLVABLE_FROM_INPUT, not truly ambiguous. The verifier is behaving consistently with the malformed/underspecified plan; the primary failure is upstream conflict-semantics planning/extraction."
final_vaccine_025,COMPLETED,CONTROL_FIELD_POLICY_ERROR,,"Evidence audit: first rejection is a CONTROL_FIELD_POLICY_ERROR. The top-level source field 'operation' explicitly specifies write semantics and is control/instruction metadata, not a payload column to be written; the materialization/provenance coverage rule nevertheless requires it to be mapped or justified. Control block fields observed: operation, policy. In addition, the materialized plan has a latent semantic mismatch relative to gold (conflict action do_update != gold error; conflict target ['vacregistry'] != gold []; extra update columns: vacvariant, mfgsource, batchlabel, prodday, expireday, lotmeasure, vialtally, dosepervial, dosetotal, shipinject, containvac). Therefore this sample confirms the control-field policy defect as the first rejection, but it is NOT evidence that fixing control-field coverage alone would recover final correctness."
